index	pattern	head_index
1	(ADJP JJ)	1
2	(ADJP RB JJ)	2
3	(ADJP JJ PP)	1
4	(ADJP CD NN)	2
5	(ADJP QP -NONE-)	1
6	(ADJP JJ S)	1
8	(ADJP RB VBN)	2
9	(ADJP ADJP PP)	1
10	(ADJP JJR)	1
11	(ADJP RBR JJ)	2
12	(ADJP JJ NP)	1
13	(ADJP RB JJR)	2
14	(ADJP RBS JJ)	2
16	(ADJP RB JJ PP)	2
17	(ADJP JJ SBAR)	1
18	(ADJP $ CD -NONE-)	1
20	(ADJP ADJP SBAR)	1
21	(ADJP ADJP CC ADJP)	1
22	(ADJP NP JJ)	2
23	(ADJP VBN PP)	1
24	(ADJP QP NN)	1
25	(ADJP VBN)	1
26	(ADJP RB)	1
29	(ADJP NNP JJ)	2
30	(ADJP RB PP)	1
31	(ADJP RB RB JJ)	3
32	(ADJP $ JJ -NONE-)	1
33	(ADJP RBR JJ PP)	2
34	(ADJP RB JJ SBAR)	2
35	(ADJP RB JJ S)	2
36	(ADJP JJR PP)	1
37	(ADJP RB RBR JJ)	3
38	(ADJP VBG)	1
40	(ADJP NNP , JJ)	3
41	(ADJP CD CD NN)	3
42	(ADJP JJS)	1
43	(ADJP CD JJ)	2
44	(ADJP RBR)	1
45	(ADJP NN)	1
46	(ADJP RB VBG)	2
47	(ADJP RBR JJ S)	2
51	(ADJP JJ PP PP)	1
53	(ADJP JJ NN)	2
55	(ADJP VBN SBAR)	1
56	(ADJP JJ NP PP)	1
57	(ADJP JJ , JJ CC JJ)	1
58	(ADJP RB DT)	2
59	(ADJP JJ RB S)	1
60	(ADJP VBN S)	1
62	(ADJP RB RBR)	2
63	(ADJP RB VBN PP)	2
67	(ADJP NN JJ)	2
68	(ADJP ADVP JJ PP)	2
70	(ADJP ADJP PP PP)	1
71	(ADJP IN)	1
72	(ADJP $ CD CD -NONE-)	1
74	(ADJP JJ RB)	1
75	(ADJP NNP)	1
76	(ADJP RB S)	1
78	(ADJP RB JJR PP)	2
80	(ADJP RBR VBN)	2
81	(ADJP JJR SBAR)	1
83	(ADJP $ JJ)	1
84	(ADJP RB JJS)	2
85	(ADJP NN PP)	1
88	(ADJP `` JJ '' PP)	2
90	(ADJP RB VBN S)	2
92	(ADJP RBS JJ PP)	2
94	(ADJP DT JJ)	2
100	(ADJP RB RB PP)	1
101	(ADJP JJ TO JJ)	1
