index	pattern	head_index
1	(ADVP RB)	1
2	(ADVP -NONE-)	1
3	(ADVP RB RB)	2
4	(ADVP RB PP)	1
5	(ADVP NP RB)	2
6	(ADVP RB NP)	1
7	(ADVP RBR)	1
8	(ADVP NP RBR)	2
9	(ADVP IN)	1
10	(ADVP ADVP PP)	1
11	(ADVP RB NP PP)	1
12	(ADVP JJ)	1
13	(ADVP IN NP)	1
14	(ADVP NP IN)	2
15	(ADVP IN PP)	1
16	(ADVP IN JJS)	1
17	(ADVP ADVP SBAR)	1
18	(ADVP RBR RB)	2
19	(ADVP RB RBR)	2
20	(ADVP IN RB)	2
21	(ADVP RP)	1
22	(ADVP RB CC RB)	1
23	(ADVP JJR)	1
24	(ADVP NP JJR)	2
25	(ADVP JJ PP)	1
26	(ADVP RB JJ)	1
27	(ADVP IN DT)	1
28	(ADVP NN)	1
29	(ADVP RB RB PP)	2
30	(ADVP RBS RB)	2
31	(ADVP RB JJR)	2
32	(ADVP RBR IN)	1
33	(ADVP IN NP PP)	1
34	(ADVP RBS)	1
35	(ADVP RBR PP)	1
36	(ADVP DT)	1
37	(ADVP NNP)	1
38	(ADVP RB RB RB)	3
39	(ADVP NP RB PP)	2
40	(ADVP RBR NP)	1
41	(ADVP RB IN)	1
42	(ADVP ADVP CC ADVP)	1
43	(ADVP RP PP)	1
44	(ADVP RB RB SBAR)	2
45	(ADVP RB SBAR)	1
46	(ADVP DT RBR)	2
47	(ADVP RB S)	1
48	(ADVP RB RBR RB)	3
49	(ADVP CD TO CD)	1
50	(ADVP ADVP NP)	1
51	(ADVP RB JJ PP)	2
52	(ADVP NN IN)	2
53	(ADVP CD)	1
54	(ADVP CC)	1
55	(ADVP ADVP RB)	2
56	(ADVP ADVP , SBAR)	1
57	(ADVP DT CC)	2
58	(ADVP JJS)	1
59	(ADVP JJ NN)	1
60	(ADVP JJR IN)	1
61	(ADVP IN CC IN)	1
62	(ADVP DT IN)	2
63	(ADVP IN NN)	1
64	(ADVP RBR CC RBR)	1
65	(ADVP JJ NP)	1
66	(ADVP DT RB)	2
67	(ADVP NN PP)	1
68	(ADVP DT NN SBAR)	2
69	(ADVP RB NN)	1
70	(ADVP LS)	1
71	(ADVP RBR IN RB)	3
72	(ADVP RB NP PP PP)	1
73	(ADVP IN NP PP PP)	1
74	(ADVP PRP)	1
75	(ADVP RB ADVP PP)	1
76	(ADVP DT NN)	2
77	(ADVP IN JJS RB)	3
78	(ADVP ADVP , CC ADVP)	1
79	(ADVP RB RB S)	2
80	(ADVP VB)	1
81	(ADVP RB RB JJ)	2
82	(ADVP FW FW)	2
83	(ADVP ADVP RB RB)	3
84	(ADVP RBR JJ)	2
85	(ADVP RBS JJ)	2
86	(ADVP DT JJR)	2
87	(ADVP JJ NP PP)	1
88	(ADVP RB RBR PP)	2
89	(ADVP ADVP PP PP)	1
90	(ADVP RB RB .)	2
91	(ADVP NP PP)	1
92	(ADVP NP RB NP)	2
93	(ADVP QP RBR)	2
94	(ADVP RB IN RB)	3
96	(ADVP RB ADVP)	1
98	(ADVP NP JJ PP)	2
99	(ADVP JJR PP)	1
100	(ADVP VBN PP)	1
101	(ADVP ADVP PRN)	1
102	(ADVP ADVP CC PP)	1
103	(ADVP NN CC NN)	1
104	(ADVP DT RB CC RB)	2
105	(ADVP WRB)	1
106	(ADVP RB RB CC RB)	2
107	(ADVP NP JJ)	2
108	(ADVP RB RB RBR)	3
110	(ADVP JJS PP)	1
111	(ADVP CD NN)	2
112	(ADVP VB RB)	2
113	(ADVP RB DT NN)	1
114	(ADVP RP RB)	2
115	(ADVP RB TO RB)	3
117	(ADVP IN ADVP PP)	2
118	(ADVP RB RB RB SBAR)	3
119	(ADVP RB IN JJ)	3
120	(ADVP RB RB NP)	2
121	(ADVP RBR CC RBR RB)	4
122	(ADVP RB '' PP)	1
123	(ADVP RBR RB PP)	2
124	(ADVP RB JJ S)	2
125	(ADVP JJR CC JJR)	1
126	(ADVP UH)	1
127	(ADVP RB IN PP)	2
128	(ADVP PDT DT JJ)	3
129	(ADVP ADVP , CC ADVP ,)	1
130	(ADVP RB PP PP)	1
131	(ADVP DT RB RB)	3
132	(ADVP CC RB)	2
133	(ADVP ADVP JJ)	2
135	(ADVP IN RB RB)	3
136	(ADVP RB IN NP)	1
138	(ADVP RB RBR JJ)	3
139	(ADVP RB VBN)	1
141	(ADVP RB RBR CC RBR)	2
142	(ADVP RB VP)	1
143	(ADVP JJ CC JJ)	1
144	(ADVP DT IN RB)	3
145	(ADVP NNS PP)	2
146	(ADVP NP IN NP)	2
147	(ADVP JJ RB)	2
148	(ADVP VB JJ)	2
149	(ADVP ADVP , ADVP)	1
150	(ADVP JJ RP)	1
