index	pattern	head_index
1	(FRAG NP)	1
2	(FRAG NP NP)	1
3	(FRAG ADJP)	1
4	(FRAG PP)	1
5	(FRAG -NONE-)	1
6	(FRAG NP : S .)	1
7	(FRAG ADVP)	1
8	(FRAG VP)	1
9	(FRAG NP PP)	1
10	(FRAG NP , NP , NP , PP : `` NP . '')	1
11	(FRAG NP VP)	1
12	(FRAG WHADVP)	1
13	(FRAG PP NP :)	1
14	(FRAG NP .)	1
15	(FRAG SBAR)	1
16	(FRAG X NP)	1
17	(FRAG X : NP .)	1
18	(FRAG NP , NP)	1
19	(FRAG CC PP)	1
20	(FRAG RB NP)	2
21	(FRAG CC SBAR .)	1
22	(FRAG PP : NP .)	1
23	(FRAG S)	1
24	(FRAG NP , VP)	1
25	(FRAG SBAR .)	1
26	(FRAG PP : `` S .)	1
27	(FRAG RB PP)	2
28	(FRAG NP , NP , NP , PP PRN : `` NP . '')	1
29	(FRAG ADVP ADVP)	1
30	(FRAG NP : `` S . '')	1
31	(FRAG ADVP , NP .)	1
32	(FRAG CC NP .)	1
33	(FRAG PP .)	1
34	(FRAG NP PP PP)	1
35	(FRAG CC NP)	1
36	(FRAG ADJP S .)	1
37	(FRAG RB NP .)	2
38	(FRAG JJ)	1
39	(FRAG NP , PP .)	1
40	(FRAG ADJP .)	1
41	(FRAG IN NP)	2
42	(FRAG ADVP NP .)	2
43	(FRAG RB ADVP)	2
44	(FRAG PP NP)	2
45	(FRAG WHNP SBAR .)	1
46	(FRAG : VP .)	1
47	(FRAG INTJ , NP .)	3
48	(FRAG ADVP SBAR)	1
49	(FRAG RB ADJP)	2
50	(FRAG NP . '')	1
51	(FRAG WHNP)	1
52	(FRAG IN ADVP)	2
53	(FRAG NP : S)	1
54	(FRAG RB RB NP .)	3
55	(FRAG X : VP .)	1
56	(FRAG FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG : FRAG .)	1
57	(FRAG NP SBAR)	1
58	(FRAG NP ADVP .)	2
59	(FRAG ADVP .)	1
60	(FRAG NP : FRAG .)	1
61	(FRAG ADVP SBAR .)	2
62	(FRAG NP , SBAR .)	1
63	(FRAG ADVP NP)	2
64	(FRAG PP : S .)	1
65	(FRAG ADJP SBAR .)	1
66	(FRAG INTJ , NP)	1
67	(FRAG S : FRAG .)	1
68	(FRAG WHNP PP .)	1
69	(FRAG S : NP .)	1
70	(FRAG PP : `` S . '')	1
72	(FRAG NP S)	1
73	(FRAG NP , NP , NP , PP : NP .)	1
74	(FRAG WHNP PP)	1
75	(FRAG WHADVP NP .)	1
76	(FRAG X VP)	1
77	(FRAG INTJ)	1
78	(FRAG WRB .)	1
79	(FRAG ADJP , PP , SBAR .)	1
80	(FRAG VP : NP NP , PP PP .)	1
81	(FRAG WHADVP RB VP .)	1
82	(FRAG '' NP PP .)	2
83	(FRAG VP : NP , PP , PP : .)	1
84	(FRAG CC WHADVP RB .)	1
85	(FRAG RB JJ)	2
86	(FRAG -LRB- `` NP PRN SBAR .)	3
87	(FRAG NP , PP :)	1
88	(FRAG ADVP NP , PP .)	2
89	(FRAG IN RB)	1
90	(FRAG PRN `` INTJ .)	1
91	(FRAG NP : NP VP .)	1
92	(FRAG ADVP : SBAR .)	1
93	(FRAG INTJ , PP)	1
94	(FRAG SBAR , WHADVP)	1
95	(FRAG CC ADVP)	1
96	(FRAG CC NP SBAR .)	1
97	(FRAG PP NP , NP :)	1
98	(FRAG RB PP .)	2
99	(FRAG INTJ , ADVP)	3
100	(FRAG ADJP ADJP)	1
101	(FRAG ADVP , PP .)	3
102	(FRAG NP , ADVP , PP .)	1
103	(FRAG -LRB- NP : NP -RRB-)	2
104	(FRAG ADJP S)	1
105	(FRAG CC INTJ , INTJ .)	1
106	(FRAG ADJP :)	1
107	(FRAG WHADVP VP)	1
108	(FRAG ADVP PP)	2
109	(FRAG NP , PP : S .)	1
110	(FRAG FRAG : FRAG : FRAG : FRAG : FRAG : NP : FRAG : FRAG : FRAG .)	1
111	(FRAG CC , ADVP , NP .)	1
112	(FRAG `` INTJ .)	2
113	(FRAG ADVP RB PP .)	3
