index	pattern	head_index
1	(NAC NNP , NNP ,)	1
2	(NAC NNP PP)	1
3	(NAC NNP NNP , NNP ,)	2
4	(NAC NNP NNP PP)	2
5	(NAC NN PP)	1
6	(NAC NNP CD)	1
7	(NAC NNP , NNP CD , CD ,)	1
8	(NAC NNP , NNP)	1
9	(NAC NNP NNP NNP PP)	3
10	(NAC NNP DT JJ)	1
11	(NAC NAC PP)	1
12	(NAC NNP NNPS , NNP ,)	2
14	(NAC NP PP)	1
15	(NAC JJ NNP PP)	2
16	(NAC NNP NNP , NNP)	2
17	(NAC NNP CD , CD ,)	1
18	(NAC NNPS PP)	1
19	(NAC NNP NNPS PP)	2
20	(NAC JJ NN PP)	2
21	(NAC NNP)	1
22	(NAC DT JJ)	2
23	(NAC NP ADVP)	1
24	(NAC NAC PRN)	1
25	(NAC DT NNP PP)	2
26	(NAC `` PRP$ JJ NN '')	4
27	(NAC JJ NNP , NNP ,)	2
28	(NAC NP , NP ,)	1
29	(NAC JJ PP)	1
30	(NAC DT NNP)	2
31	(NAC NNS)	1
32	(NAC $ CD -NONE- PP)	1
33	(NAC NNP PP NP)	1
34	(NAC NP PP PP)	1
35	(NAC NNP NNP NNP , NNP ,)	3
36	(NAC NNP , NNP NNP)	1
37	(NAC NNP .)	1
38	(NAC NNP NNP)	2
39	(NAC NAC CC NAC)	1
40	(NAC DT NNP NNP PP)	3
41	(NAC NAC , CC NAC)	1
42	(NAC CD NN PP)	2
43	(NAC CD NNS PP)	2
44	(NAC JJ NNP NN PP)	3
45	(NAC VBN NN NNP PP)	3
46	(NAC NNP , NNP NNP ,)	1
47	(NAC DT NNP , NNP ,)	2
48	(NAC S NN)	1
49	(NAC NNS SBAR)	1
50	(NAC JJ JJ NN PP)	3
51	(NAC NNP JJ)	2
