index	pattern	head_index
1	(PP IN NP)	1
2	(PP TO NP)	1
3	(PP IN S)	1
4	(PP -NONE-)	1
5	(PP VBG NP)	1
6	(PP IN PP)	1
7	(PP ADVP IN NP)	2
8	(PP VBG PP)	1
9	(PP IN SBAR)	1
10	(PP JJ IN NP)	2
11	(PP VBN PP)	1
12	(PP IN IN NP)	1
13	(PP PP PP)	1
14	(PP PP CC PP)	1
15	(PP IN ADVP)	1
16	(PP RB IN NP)	2
17	(PP IN ADJP)	1
18	(PP IN NP ADVP)	1
19	(PP TO S)	1
20	(PP IN `` NP)	1
21	(PP IN NP PP)	1
22	(PP NP IN NP)	2
23	(PP IN NP NP)	1
24	(PP CC NP)	1
25	(PP RB NP)	1
26	(PP RB IN S)	2
27	(PP ADVP IN IN NP)	2
28	(PP IN `` NP '')	1
29	(PP PP , CC PP)	1
30	(PP TO NP PP)	1
31	(PP RB PP)	1
32	(PP ADVP TO NP)	2
33	(PP VBN NP)	1
34	(PP IN)	1
35	(PP IN NP , ADVP)	1
36	(PP RP NP)	1
37	(PP TO SBAR)	1
38	(PP PP , PP)	1
39	(PP IN CC IN NP)	1
40	(PP TO ADJP)	1
41	(PP ADVP IN S)	2
42	(PP IN `` S)	1
43	(PP JJ NP)	1
44	(PP IN FRAG)	1
45	(PP DT IN NP)	2
46	(PP PP CONJP PP)	1
47	(PP IN UCP)	1
48	(PP NNP NP)	1
49	(PP RB ADJP)	1
50	(PP JJ TO NP)	1
51	(PP RP PP)	1
52	(PP PP , PP CC PP)	1
53	(PP PP PP PP)	1
54	(PP IN NP :)	1
55	(PP VBN SBAR)	1
56	(PP IN PRN NP)	1
57	(PP JJ PP)	1
58	(PP IN `` ADJP)	1
59	(PP IN '' NP)	1
60	(PP TO `` NP)	1
61	(PP JJ IN S)	1
62	(PP IN NP ,)	1
63	(PP PP , RB PP)	1
64	(PP DT PP CC PP)	2
65	(PP IN RB)	1
66	(PP RB S)	1
67	(PP PP CC PP NP)	1
68	(PP RB PP CC PP)	2
69	(PP FW NP)	1
70	(PP NP IN S)	2
71	(PP RB IN IN NP)	2
72	(PP PP , CC RB PP)	1
73	(PP IN NP , PP)	1
74	(PP VBG S)	1
75	(PP PP , PP ,)	1
76	(PP CONJP PP CC PP)	2
77	(PP PP , CONJP PP)	1
78	(PP RB TO NP)	2
79	(PP TO VP)	1
80	(PP TO NP NP)	1
81	(PP CC PP)	1
82	(PP RB RB IN NP)	1
83	(PP IN VP)	1
84	(PP RB PP , CC PP)	2
85	(PP ADVP RB NP)	2
86	(PP TO `` NP '')	1
87	(PP CC PP CC PP)	2
88	(PP IN `` ADJP '')	1
89	(PP PP : CC PP)	1
90	(PP IN NP , NP)	1
91	(PP CONJP PP , CONJP PP)	2
92	(PP PP , ADVP PP)	1
93	(PP IN WHNP)	1
95	(PP RB IN ADJP)	2
96	(PP RBR IN NP)	2
97	(PP IN NP .)	1
98	(PP TO CC IN NP)	1
99	(PP RB IN PP)	2
100	(PP RP)	1
101	(PP PP , CC PP ,)	1
