index	pattern	head_index
1	(QP $ CD CD)	1
2	(QP CD CD)	2
3	(QP RB CD)	2
4	(QP IN CD)	2
5	(QP JJR IN CD)	3
6	(QP RB $ CD CD)	2
7	(QP IN $ CD CD)	2
8	(QP CD TO CD)	1
9	(QP IN JJS CD)	3
10	(QP # CD CD)	1
11	(QP JJR IN $ CD CD)	3
12	(QP RB JJ IN CD)	4
13	(QP RB CD CD)	3
14	(QP RB $ CD)	2
15	(QP RBR IN CD)	3
16	(QP IN CD CD)	3
17	(QP DT CD)	2
18	(QP CD NN TO CD NN)	2
19	(QP IN $ CD)	2
20	(QP $ CD TO $ CD)	1
21	(QP $ CD CD TO $ CD CD)	1
22	(QP CD CD NN TO CD CD NN)	3
23	(QP CC JJR)	2
24	(QP CD NNS)	2
25	(QP IN TO CD)	3
26	(QP JJR IN CD CD)	4
27	(QP RB JJ IN $ CD CD)	4
28	(QP JJR IN $ CD)	3
29	(QP CD CC CD)	1
30	(QP CC RB)	2
31	(QP RB IN CD)	3
32	(QP IN JJS $ CD CD)	3
33	(QP DT $ CD CD)	2
34	(QP RB DT JJ)	3
35	(QP JJ CD)	2
36	(QP CD IN CD)	1
37	(QP IN CD NN CC CD NN)	1
38	(QP CC CD)	2
39	(QP IN TO $ CD CD)	3
40	(QP RBR IN $ CD CD)	3
41	(QP $ CD CD CC JJR)	1
42	(QP RB JJ IN CD CD)	5
43	(QP IN $ CD CD CC $ CD CD)	1
44	(QP RB RB CD)	3
45	(QP RB NN)	2
46	(QP IN $ CD CC $ CD)	1
47	(QP CD CC JJR)	1
48	(QP JJR IN PDT)	3
49	(QP $ CD TO $ CD CD)	1
50	(QP JJR IN DT)	3
51	(QP RB RB)	2
52	(QP $ CD)	1
53	(QP RB RB IN CD)	4
54	(QP RB DT)	2
55	(QP IN CD CC CD)	1
56	(QP RB JJ IN $ CD)	4
57	(QP CD JJR)	1
58	(QP RB RB IN $ CD CD)	4
59	(QP RB JJR IN CD)	4
60	(QP JJR IN NN)	3
61	(QP CD CC RB)	1
62	(QP IN DT)	2
63	(QP RB PDT)	2
64	(QP RB # CD CD)	2
65	(QP RB JJ)	2
66	(QP RB CD IN CD)	2
67	(QP RB CD NN TO CD NN)	3
68	(QP RB TO $ CD CD)	3
69	(QP RB CD TO CD)	2
70	(QP IN PDT)	2
71	(QP RBR IN DT)	3
72	(QP IN # CD CD)	2
73	(QP IN NN)	2
74	(QP CD NN CC CD NN)	2
75	(QP CD TO CD NNS)	4
76	(QP CD NN CC JJR)	2
77	(QP RBR IN CD CD)	4
78	(QP RB CD NNS)	3
79	(QP IN $ CD TO $ CD)	2
80	(QP CD CD NN TO CD NN)	3
81	(QP RB TO CD)	3
82	(QP CD NN TO CD)	2
83	(QP CD)	1
84	(QP JJR IN CD NNS)	4
85	(QP DT JJ)	2
86	(QP RB DT NN)	3
87	(QP RB $ CD TO $ CD)	2
88	(QP TO CD)	2
89	(QP JJR IN NNS)	3
90	(QP CC RBR)	2
91	(QP IN TO CD CD)	4
92	(QP JJ CD CD)	3
93	(QP DT CD CD)	3
94	(QP CD NN)	2
95	(QP $ CD CC $ CD)	1
96	(QP NNS IN NNS)	1
97	(QP IN CD CD CC CD CD)	1
98	(QP VBN $ CD CD)	2
99	(QP RB TO $ CD)	3
100	(QP $ CD CC JJR)	1
101	(QP JJR IN RB)	3
102	(QP CD NNS TO CD)	2
103	(QP RB $ CD CD TO $ CD CD)	2
104	(QP RB NNS)	2
105	(QP $ CD CD CC $ CD CD)	1
106	(QP IN RB)	2
