index	pattern	head_index
1	(SBARQ WHNP SQ .)	2
2	(SBARQ WHADVP SQ .)	2
3	(SBARQ -NONE-)	1
4	(SBARQ WHNP SQ)	2
5	(SBARQ WHADVP SQ)	2
6	(SBARQ RB WHNP SQ .)	3
7	(SBARQ `` WHADVP SQ .)	3
8	(SBARQ `` WHNP SQ .)	3
9	(SBARQ `` WHNP SQ . '')	3
10	(SBARQ CC WHADVP SQ .)	1
11	(SBARQ WHNP S .)	2
12	(SBARQ `` WHADVP SQ . '')	3
13	(SBARQ RB WHADVP SQ .)	3
14	(SBARQ CC WHNP SQ .)	1
15	(SBARQ WHNP SQ . '')	2
16	(SBARQ SBAR , WHNP SQ .)	4
17	(SBARQ WHPP SQ .)	2
18	(SBARQ CC SQ .)	1
19	(SBARQ WHNP SINV .)	2
20	(SBARQ WHADVP PRN SQ .)	3
21	(SBARQ WHNP SQ :)	2
22	(SBARQ SBAR , WHNP SQ)	4
23	(SBARQ FRAG , SBARQ .)	3
24	(SBARQ SBARQ : SBARQ : CC SBARQ)	1
25	(SBARQ `` NP PRN `` WHADVP SQ . '')	6
26	(SBARQ `` WHNP SQ :)	3
27	(SBARQ WHADJP SQ)	2
28	(SBARQ WHADVP SQ . '')	2
29	(SBARQ -LRB- WHADVP SQ .)	3
30	(SBARQ `` SBAR PRN WHADVP SQ . '')	5
31	(SBARQ WHADVP SINV .)	2
32	(SBARQ SBAR , WHADVP SQ .)	4
33	(SBARQ `` WHADVP MD SQ . '')	4
34	(SBARQ WRB RP FRAG .)	3
35	(SBARQ WHADVP S)	2
36	(SBARQ INTJ WHADVP PRN SQ .)	4
37	(SBARQ WHADVP S .)	2
38	(SBARQ S , WHNP SQ .)	4
39	(SBARQ SBAR , WHNP S .)	4
40	(SBARQ `` WHNP VBZ SQ . '')	4
52	(SBARQ WHADVP FRAG)	2
