index	pattern	head_index
1	(SBAR IN S)	2
2	(SBAR WHNP S)	2
3	(SBAR -NONE- S)	2
4	(SBAR WHADVP S)	2
5	(SBAR -NONE-)	1
6	(SBAR WHPP S)	2
7	(SBAR RB IN S)	2
8	(SBAR DT S)	2
9	(SBAR SBAR CC SBAR)	1
10	(SBAR ADVP IN S)	3
11	(SBAR IN `` S)	3
12	(SBAR RB S)	2
13	(SBAR SBAR , CC SBAR)	1
14	(SBAR IN FRAG)	2
15	(SBAR IN IN S)	3
16	(SBAR NP IN S)	2
17	(SBAR IN , S)	3
18	(SBAR IN NN S)	1
19	(SBAR IN SINV)	2
20	(SBAR WHNP , S)	3
21	(SBAR WHADJP S)	2
22	(SBAR SINV)	1
23	(SBAR WHADVP IN S)	3
24	(SBAR WHNP IN S)	3
25	(SBAR -NONE- `` S)	3
26	(SBAR SBAR , SBAR)	1
27	(SBAR NNP S)	2
28	(SBAR -NONE- SINV)	1
29	(SBAR X S)	2
30	(SBAR WHADVP , S)	3
31	(SBAR ADVP WHADVP S)	3
32	(SBAR CC S)	1
33	(SBAR SBAR : CC SBAR)	1
34	(SBAR PP S)	1
35	(SBAR WDT S)	2
36	(SBAR NN S)	1
37	(SBAR IN SBAR)	2
38	(SBAR IN RB S)	3
39	(SBAR ADVP WHNP S)	3
40	(SBAR WHADVP FRAG)	2
41	(SBAR IN S CC RB)	2
42	(SBAR WHNP FRAG)	2
43	(SBAR -NONE- FRAG)	2
45	(SBAR WHNP S .)	2
46	(SBAR IN S . '')	2
47	(SBAR -NONE- S , CC S)	2
48	(SBAR SBAR : SBAR)	1
49	(SBAR S)	1
52	(SBAR WHNP `` S)	3
53	(SBAR WHNP PRN S)	3
54	(SBAR WHADVP `` S)	3
55	(SBAR PP IN S)	3
56	(SBAR SBAR , '' CC SBAR)	1
57	(SBAR `` WHNP S)	3
58	(SBAR IN S ,)	1
59	(SBAR NP RB S)	3
60	(SBAR WHNP SINV)	2
61	(SBAR -LRB- WHNP -RRB- S)	4
62	(SBAR QP WHNP S)	3
63	(SBAR IN PRN S)	3
64	(SBAR WDT FRAG)	2
65	(SBAR RB RB RB IN S)	5
66	(SBAR SBAR : PRN)	1
67	(SBAR WHADVP S ,)	2
68	(SBAR RB IN FRAG)	3
69	(SBAR -NONE- , `` S)	4
70	(SBAR SBAR , CC SBAR ,)	1
71	(SBAR RB RB IN S)	4
72	(SBAR SBAR '' CC SBAR)	1
73	(SBAR IN X)	2
74	(SBAR WHNP S ,)	2
75	(SBAR RB SINV)	2
76	(SBAR UCP S)	2
77	(SBAR SBAR , SBAR , CC SBAR)	1
78	(SBAR WP IN S .)	3
79	(SBAR RB FRAG)	1
80	(SBAR IN , `` S)	4
81	(SBAR IN S .)	2
82	(SBAR -LRB- IN -RRB- S)	4
83	(SBAR TO S)	1
84	(SBAR SBAR , CC ADVP SBAR)	1
85	(SBAR SBAR : SBAR : SBAR)	1
86	(SBAR IN WHADVP S)	3
87	(SBAR IN CC RB `` S)	5
88	(SBAR SBAR : SBAR : CC SBAR)	1
89	(SBAR WHNP S VP)	2
90	(SBAR PRN S)	2
91	(SBAR ADVP RB S)	2
92	(SBAR DT PRN S)	3
93	(SBAR -NONE- S , '' CC S)	2
94	(SBAR SBAR : CC PRN SBAR)	1
95	(SBAR WHADVP PRN S)	3
96	(SBAR VBD S)	1
97	(SBAR SBAR , CC FRAG)	1
98	(SBAR SBAR SBAR)	1
99	(SBAR -LRB- IN S)	3
