index	pattern	head_index
1	(SQ NP VP)	2
2	(SQ MD NP VP)	1
3	(SQ VBZ NP VP)	1
4	(SQ VBP NP VP)	1
5	(SQ MD NP VP .)	1
6	(SQ VBD NP VP)	1
7	(SQ VBP NP VP .)	1
8	(SQ VBZ NP VP .)	1
9	(SQ -NONE-)	1
10	(SQ VBZ NP ADJP)	1
11	(SQ VBZ NP NP .)	1
12	(SQ MD NP ADVP VP .)	1
13	(SQ VBD NP VP .)	1
14	(SQ CC MD NP VP .)	1
15	(SQ VBP RB NP VP)	1
16	(SQ VBP NP ADJP .)	1
17	(SQ VBZ NP PP)	1
18	(SQ VB NP VP)	1
19	(SQ NP VP .)	2
20	(SQ MD RB NP VP)	1
21	(SQ MD RB NP VP .)	1
22	(SQ VBZ NP ADVP VP)	1
23	(SQ PP , MD NP VP .)	3
24	(SQ VBP NP ADVP VP .)	1
25	(SQ VBZ RB NP ADJP S .)	1
26	(SQ CC VBZ NP ADJP .)	1
27	(SQ NNP NP VP .)	1
28	(SQ VBP NP ADVP VP)	1
29	(SQ NNS NP NP)	1
30	(SQ VBD RB NP VP)	1
31	(SQ VBZ RB NP VP .)	1
32	(SQ SQ , CC SQ .)	1
33	(SQ VBZ NP NP)	1
34	(SQ CC VBD NP SBAR .)	1
35	(SQ MD `` NP '' VP .)	1
36	(SQ NP ADVP VP)	3
37	(SQ NP VBZ ADVP VP)	2
38	(SQ VBZ S NP .)	1
39	(SQ VBZ NP ADVP NP)	1
40	(SQ CC VBZ NP VP .)	1
41	(SQ VP S PRN `` SBAR)	1
42	(SQ `` VBZ NP VP . '')	2
43	(SQ VBD NP ADVP VP)	1
44	(SQ VBZ NP RB NP .)	1
45	(SQ VBZ NP RB VP)	1
46	(SQ S , MD RB NP VP .)	3
47	(SQ VBP NP VP ADJP)	1
48	(SQ S , SQ .)	1
49	(SQ CC VBZ NP ADVP VP .)	1
50	(SQ VBP NP NP S)	1
51	(SQ SQ SQ FRAG)	1
52	(SQ VP NP PP)	1
53	(SQ `` SBARQ '' CC `` SQ)	2
54	(SQ VBP NP ADVP NP , PP .)	1
55	(SQ VBZ NP ADVP VP .)	1
56	(SQ VBZ RB NP ADJP SBAR)	1
57	(SQ VBP RB NP , PP , NP .)	1
58	(SQ ADVP , VBD NP VP .)	3
59	(SQ FRAG)	1
60	(SQ CC MD NP VP . '')	1
61	(SQ VBZ NP ADJP .)	1
62	(SQ CC SBAR , MD NP ADVP VP .)	1
63	(SQ MD NP VP . '')	1
64	(SQ VBD NP ADJP .)	1
65	(SQ RB NP VP)	3
66	(SQ VBP NP VP S)	1
67	(SQ CC VBZ RB NP NP .)	1
68	(SQ PP VBZ NP ADVP PP ADVP)	2
69	(SQ VP NP NP)	1
70	(SQ CC FRAG .)	1
71	(SQ VBD NP NP SBAR .)	1
72	(SQ VBZ NP ADVP ADVP)	1
73	(SQ VBZ NP PP ADVP)	1
74	(SQ VBP NP NP)	1
75	(SQ VBZ NP ADVP)	1
76	(SQ VBZ NP ADVP ADJP)	1
77	(SQ VBP NP ADJP)	1
78	(SQ CC VBD NP VP .)	1
79	(SQ CC VBZ NP ADJP SBAR .)	1
80	(SQ SQ , CC SQ)	1
81	(SQ VBZ NP ADVP ADJP .)	1
82	(SQ VBD RB NP ADJP .)	1
83	(SQ NP RB VP)	3
84	(SQ NP VP . . . .)	2
85	(SQ ADVP , VBZ NP ADVP NP ADVP .)	3
86	(SQ MD NP , ADVP , VP .)	1
87	(SQ ADVP VBD NP NP .)	2
88	(SQ `` SBAR PRN MD NP VP . '')	3
89	(SQ VBP NP PP .)	1
90	(SQ VBZ RB NP ADJP SBAR . '')	1
