index	pattern	head_index
1	(UCP NN CC JJ)	1
2	(UCP JJ CC NN)	1
3	(UCP NNP CC JJ)	1
4	(UCP PP CC ADVP)	1
5	(UCP NP CC ADJP)	1
6	(UCP ADVP CC PP)	1
7	(UCP ADJP CC VP)	1
8	(UCP ADJP CC NP)	1
9	(UCP VP CC ADJP)	1
10	(UCP JJ CC JJ)	1
11	(UCP ADJP CC PP)	1
12	(UCP NN CC NN)	1
13	(UCP PP CC S)	1
14	(UCP NP CC ADVP)	1
15	(UCP JJ CC NNP)	1
16	(UCP NP CC PP)	1
17	(UCP NN CC NNS)	1
18	(UCP PP CC SBAR)	1
19	(UCP NNP CC NNP)	1
20	(UCP S CC PP)	1
21	(UCP JJ , NN CC NN)	1
22	(UCP ADJP CC ADVP)	1
23	(UCP PP CC NP)	1
24	(UCP JJ , NN CC JJ)	1
25	(UCP NP CC S)	1
26	(UCP DT NN CC JJ)	2
27	(UCP PP CC VP)	1
28	(UCP NP CC SBAR)	1
29	(UCP SBAR CC PP)	1
30	(UCP PP , CC SBAR)	1
31	(UCP ADVP CC VP)	1
32	(UCP ADVP CC ADJP)	1
33	(UCP JJ CC NNP NNP)	1
34	(UCP NP CC VP)	1
35	(UCP NN , NN CC JJ)	1
36	(UCP JJ CC VBG)	1
37	(UCP ADJP : NP)	1
38	(UCP PP , CC S)	1
39	(UCP PP , CC ADVP)	1
40	(UCP S : NP .)	1
41	(UCP NN , NN CC NN)	1
42	(UCP NNS CC NN)	1
43	(UCP NN NN CC JJ)	2
44	(UCP NN , NN CC NNS)	5
45	(UCP ADJP , CC VP)	1
47	(UCP ADVP , CC ADVP PP)	1
48	(UCP JJ , NN , NN CC JJ)	1
49	(UCP PP , CC ADJP ,)	1
50	(UCP NP CC S .)	1
51	(UCP JJ , CC NN ,)	1
52	(UCP VP , CC ADJP)	1
53	(UCP -NONE-)	1
54	(UCP NP , CC ADJP)	1
55	(UCP NNP CC ADJP)	1
56	(UCP ADJP , CC PP)	1
57	(UCP JJ , NNP NNP CC NNP)	1
58	(UCP NP , CC VP)	1
59	(UCP RB ADJP CC PP)	2
60	(UCP NN , NNS CC NN)	1
61	(UCP JJ CC NN NN)	4
62	(UCP `` ADJP '' CC `` NP)	6
63	(UCP ADJP , CONJP NP)	1
64	(UCP PP , VP CC PP)	1
65	(UCP VP CC RB NP)	1
66	(UCP ADJP CC `` VP)	1
67	(UCP ADJP , CC ADVP RB NP)	1
68	(UCP VP CC ADVP ADJP)	1
69	(UCP IN CC WHADVP)	1
70	(UCP NP , CC PP , ADJP)	1
71	(UCP VP CC NP)	1
72	(UCP VP CC PP)	1
