index	pattern	head_index
1	(VP TO VP)	1
2	(VP VB NP)	1
3	(VP MD VP)	1
4	(VP VBD SBAR)	1
5	(VP VBN NP PP)	1
6	(VP VBZ VP)	1
7	(VP VBD NP)	1
8	(VP VBZ NP)	1
9	(VP VBG NP)	1
10	(VP VBD VP)	1
11	(VP VBP VP)	1
12	(VP VB NP PP)	1
13	(VP VBN NP)	1
14	(VP VB VP)	1
15	(VP VBD S)	1
16	(VP VBZ S)	1
17	(VP VBD NP PP)	1
18	(VP VP CC VP)	1
19	(VP VBZ SBAR)	1
20	(VP VBP NP)	1
21	(VP VB PP)	1
22	(VP VB S)	1
23	(VP VBN S)	1
24	(VP VBP SBAR)	1
25	(VP VBG PP)	1
26	(VP VBG NP PP)	1
27	(VP VBD PP)	1
28	(VP VBZ ADJP)	1
29	(VP VBG S)	1
30	(VP VBN VP)	1
31	(VP MD RB VP)	1
32	(VP VBZ PP)	1
33	(VP VBP S)	1
34	(VP VB SBAR)	1
35	(VP VB)	1
36	(VP VBZ NP PP)	1
37	(VP VBP RB VP)	1
38	(VP VB ADJP)	1
39	(VP VBP ADJP)	1
40	(VP VBD ADJP)	1
41	(VP VBD NP PP PP)	1
42	(VP VBZ RB VP)	1
43	(VP VBD RB VP)	1
44	(VP VBN NP PP PP)	1
45	(VP VBN PP)	1
46	(VP VB NP ADVP)	1
47	(VP VBP PP)	1
48	(VP MD ADVP VP)	1
49	(VP VP , CC VP)	1
50	(VP VBG SBAR)	1
51	(VP VBD PP PP)	1
52	(VP VBZ ADVP VP)	1
53	(VP VB ADVP)	1
54	(VP VBP NP PP)	1
55	(VP VBN NP ADVP)	1
56	(VP VB NP SBAR)	1
57	(VP VB PRT NP)	1
58	(VP VBG VP)	1
59	(VP VBD NP SBAR)	1
60	(VP VBN NP S)	1
61	(VP VBD)	1
62	(VP VB NP NP)	1
63	(VP VBN NP NP)	1
64	(VP VBP ADVP VP)	1
65	(VP VBD NP ADVP)	1
66	(VP VBG)	1
67	(VP VBD ADVP)	1
68	(VP VB NP S)	1
69	(VP VB NP PP PP)	1
70	(VP VBN SBAR)	1
71	(VP VBD NP NP)	1
72	(VP VBD NP S)	1
73	(VP -NONE-)	1
74	(VP VB PP PP)	1
75	(VP VBN NP SBAR)	1
76	(VP VBD ADVP PP)	1
77	(VP VBZ)	1
78	(VP VBN)	1
79	(VP VBD ADVP VP)	1
80	(VP VBZ ADVP)	1
81	(VP ADVP VBN NP PP)	2
82	(VP VBG ADVP)	1
83	(VP VB ADVP PP)	1
84	(VP VBN ADJP)	1
85	(VP VBG NP S)	1
86	(VP VBG PRT NP)	1
87	(VP VBZ ADVP NP)	1
88	(VP VBP ADVP)	1
89	(VP VBD NP , PP)	1
90	(VP VBG PP PP)	1
91	(VP VBD ADJP PP)	1
92	(VP VBN PP PP)	1
93	(VP VBD NP , S)	1
94	(VP VBZ NP ADVP)	1
95	(VP VBN NP ADVP PP)	1
96	(VP VBD PP SBAR)	1
97	(VP VBG NP ADVP)	1
98	(VP VBG ADVP PP)	1
99	(VP VBP)	1
100	(VP VBZ RB NP)	1
101	(VP VBZ ADJP SBAR)	1
102	(VP VBN NP PP S)	1
103	(VP ADVP VBN NP)	2
104	(VP VBG NP NP)	1
105	(VP VBP NP ADVP)	1
106	(VP VB ADJP PP)	1
107	(VP VBD PRT NP)	1
108	(VP VBD PP , ADVP)	1
109	(VP VBZ RB ADJP)	1
110	(VP ADVP VB NP)	2
111	(VP ADVP VBG NP)	2
112	(VP VP , VP CC VP)	1
113	(VP VBG NP SBAR)	1
114	(VP VBG NP PP PP)	1
115	(VP VBZ NP SBAR)	1
116	(VP VBN NP PP ADVP)	1
117	(VP VBN ADVP)	1
118	(VP VBZ ADVP PP)	1
119	(VP VBD S PP)	1
120	(VP VBZ ADJP S)	1
121	(VP VB PRT PP)	1
122	(VP VBD NP PP , PP)	1
123	(VP VBZ NP S)	1
124	(VP VBN S PP)	1
125	(VP VBZ ADJP PP)	1
126	(VP VBN NP NP PP)	1
127	(VP VBG ADJP)	1
128	(VP VBN NP PP SBAR)	1
129	(VP VBP RB ADJP)	1
130	(VP ADVP VBD NP)	2
131	(VP VBD NP PP SBAR)	1
132	(VP VB NP PP SBAR)	1
133	(VP VB NP PP ADVP)	1
134	(VP VB PP SBAR)	1
135	(VP VBZ NP NP)	1
136	(VP VB PP ADVP)	1
137	(VP VB PP NP)	1
138	(VP VBP ADVP PP)	1
139	(VP VBZ PP PP)	1
140	(VP VBD , `` S)	1
141	(VP VBD NP PP , S)	1
142	(VP VBD PP NP)	1
143	(VP NN NP)	1
144	(VP VBN NP PRT PP)	1
145	(VP VBN PRT NP)	1
146	(VP VBD NP PP ADVP)	1
147	(VP VB PRT NP PP)	1
148	(VP VBD PP S)	1
149	(VP VBZ ADVP ADJP)	1
150	(VP VBD ADVP NP)	1
151	(VP VBD PP ADVP)	1
152	(VP VBZ RB ADVP VP)	1
153	(VP VB CC VB NP)	1
154	(VP VBP ADJP PP)	1
155	(VP VB ADVP NP)	1
156	(VP VB ADJP SBAR)	1
157	(VP ADVP VBZ NP)	2
158	(VP VBN ADVP PP)	1
159	(VP VB NP , PP)	1
160	(VP VBD NP PP S)	1
162	(VP VBD RB ADJP)	1
163	(VP VBP NP SBAR)	1
164	(VP VB S PP)	1
165	(VP VB PRT)	1
166	(VP VBN NP PP NP)	1
167	(VP VBP ADVP NP)	1
168	(VP VB NP ADVP PP)	1
169	(VP VBN NP PP PP PP)	1
170	(VP VBD PRT PP)	1
171	(VP VBP RB ADVP VP)	4
172	(VP TO ADVP VP)	3
173	(VP VP , NP)	1
174	(VP VBP NP S)	1
175	(VP VBN NP PP , PP)	1
176	(VP VBD NP , ADVP)	1
177	(VP VBP ADVP ADJP)	1
178	(VP VBD NP PP PP PP)	1
179	(VP VBP PP PP)	1
180	(VP VP CC VP ADVP)	1
181	(VP VB S SBAR)	1
182	(VP VBD PP , PP)	1
183	(VP VBD ADJP SBAR)	1
184	(VP VBD NP , SBAR)	1
185	(VP VBD NP NP PP)	1
186	(VP VBD ADVP SBAR)	1
187	(VP VBP NP NP)	1
188	(VP VBN ADJP PP)	1
189	(VP VB NP NP PP)	1
190	(VP VBD PP PP PP)	1
191	(VP VB NP , SBAR)	1
192	(VP VBD S , S)	1
193	(VP VBD PRT NP PP)	1
194	(VP VBD S ADVP)	1
195	(VP VBD NP ADVP PP)	1
196	(VP NN PP)	1
197	(VP VBD : `` S)	1
198	(VP VBZ ADJP ADVP)	1
199	(VP VBP PP ADVP)	1
201	(VP VBZ NP , SBAR)	1
