index	pattern	head_index
1	(WHNP WDT)	1
2	(WHNP WP)	1
3	(WHNP -NONE-)	1
4	(WHNP IN)	1
5	(WHNP DT)	1
6	(WHNP WP$ NN)	2
7	(WHNP WP$ NNS)	2
8	(WHNP WHNP PP)	2
9	(WHNP WDT NN)	2
10	(WHNP WHNP WHPP)	1
11	(WHNP WRB JJ)	2
12	(WHNP NP WHPP)	1
13	(WHNP WDT NNS)	2
14	(WHNP NP PP)	1
15	(WHNP WP$ JJ NN)	3
16	(WHNP WP NN)	2
17	(WHNP WP$ JJ NNS)	3
18	(WHNP WHADJP NNS)	2
19	(WHNP WRB RB)	2
20	(WHNP WP$ NN NN)	3
21	(WHNP DT WHPP)	1
22	(WHNP WHADJP NN)	2
23	(WHNP RB WP)	2
24	(WHNP WP NNS)	2
25	(WHNP CD)	1
26	(WHNP WP RB)	1
27	(WHNP JJS)	1
28	(WHNP WP$ NP)	2
29	(WHNP WHADVP NNS)	2
30	(WHNP WHNP ADVP)	1
31	(WHNP WHNP PRN)	1
32	(WHNP WDT JJ NNS)	3
33	(WHNP WHNP NP)	1
34	(WHNP DT NN)	2
35	(WHNP WP$ NNS NN)	3
36	(WHNP WP DT JJ NN)	4
37	(WHNP WP$ NN NNS)	3
38	(WHNP RB WDT NN)	3
39	(WHNP DT RBS JJ)	3
40	(WHNP CD WHPP)	1
41	(WHNP WDT JJ NN)	3
42	(WHNP DT NN WHPP)	2
43	(WHNP WP$ NNS CC NN)	2
44	(WHNP WP$ NNP NNP NN)	4
45	(WHNP WHNP , NP ,)	1
46	(WHNP WP$ JJ JJ NNS)	4
47	(WHNP WDT NN NN)	3
48	(WHNP WHADVP NN)	2
49	(WHNP QP -NONE-)	1
50	(WHNP WDT NN NNS)	3
51	(WHNP WP$ ADJP NN)	3
52	(WHNP WP$ JJ JJ NN)	4
53	(WHNP WHNP SBAR)	1
54	(WHNP JJ)	1
55	(WHNP WP$ NNS CC NN NN)	2
56	(WHNP WP JJ NNS)	3
57	(WHNP WHNP PP ADJP)	1
58	(WHNP WHNP , VP , '')	1
59	(WHNP WP$ NNP NNP)	3
60	(WHNP WP PP)	1
83	(WHNP WHNP S)	1
92	(WHNP VBP)	1
